generation,id,novelty,score,species,parent1,parent2
340,63934,0.4332889123347107,0.975408,16,63722,63128
341,64369,0.4173767126046997,0.609465,16,64218,63938
342,63938,0.44162842876670466,0.562811,16,63729,63128
343,64573,0.4250245829004864,0.496127,16,63938,64369
344,63938,0.4232740174451438,0.562811,16,63729,63128
345,65113,0.4172634900344493,1.231045,15,64656,64915
346,65295,0.457165057484232,0.111225,16,65145,65137
347,65376,0.43609318310280415,0.379158,17,65266,65266
348,65562,0.4402434967050315,0.228673,18,65217,65401
349,65295,0.4549163695732854,0.111225,16,65145,65137
350,65376,0.4498306439550387,0.379158,17,65266,65266
351,65295,0.44868049991103254,0.111225,16,65145,65137
352,66397,0.4567986158750416,0.050869,17,66270,65376
353,65376,0.4443621996962891,0.379158,17,65266,65266
354,65376,0.454778236612194,0.379158,17,65266,65266
355,66194,0.435926854929704,0.519321,18,65562,65562
356,66397,0.42768550397956423,0.050869,17,66270,65376
357,66397,0.4447493921217428,0.050869,17,66270,65376
358,66397,0.42209678188796107,0.050869,17,66270,65376
359,65376,0.4481188771286023,0.379158,17,65266,65266
360,66194,0.46241802507107693,0.519321,18,65562,65562
361,68036,0.43656006254390367,0.351849,15,67845,67888
362,65376,0.4472704564007461,0.379158,17,65266,65266
363,66194,0.4336514645082857,0.519321,18,65562,65562
364,68619,0.4502428589045096,1.101503,15,68430,68445
365,68903,0.41692923461653414,1.21613,18,68524,68772
366,68619,0.457941288238761,1.101503,15,68430,68445
367,68619,0.435422696405533,1.101503,15,68430,68445
368,68619,0.45475876613582045,1.101503,15,68430,68445
369,69751,0.437711654291701,1.085165,15,69538,69566
370,69453,0.4275543645390792,0.761168,18,69251,69262
371,69453,0.41430515938309853,0.761168,18,69251,69262
372,70223,0.4074758930854727,0.609232,19,70004,70004
373,70459,0.45366742839417845,0.424627,19,70232,70184
374,70662,0.4273373970269839,0.805971,20,70473,70479
375,70459,0.4522696214997142,0.424627,19,70232,70184
376,70755,0.4166786224548089,0.934256,19,70705,70730
377,70619,0.41611286283899784,0.504523,18,70402,70436
378,70459,0.44658729444729417,0.424627,19,70232,70184
379,71469,0.42181194969789615,0.583635,18,71143,71148
380,71469,0.44260823948847317,0.583635,18,71143,71148
381,71469,0.45561551923586363,0.583635,18,71143,71148
382,71469,0.459738902657589,0.583635,18,71143,71148
383,72476,0.4041305713918057,0.271623,18,72252,72267
384,70459,0.40918609222494656,0.424627,19,70232,70184
385,70459,0.4267070256121478,0.424627,19,70232,70184
386,72711,0.4219340500163987,0.592934,18,72640,72664
387,70459,0.4373934459353757,0.424627,19,70232,70184
388,73329,0.4190317146813137,1.293997,20,73113,72922
389,73329,0.43125150188363864,1.293997,20,73113,72922
390,73824,0.40475519302838453,0.475886,20,73614,73603
391,73948,0.4185166283309579,0.775312,19,73822,73767
392,74201,0.4053712222854009,0.606089,19,73942,73906
393,74363,0.43933321426296634,1.675882,19,73948,73948
394,74363,0.44373097365693526,1.675882,19,73948,73948
395,74363,0.442117406480001,1.675882,19,73948,73948
396,74363,0.4340097643220653,1.675882,19,73948,73948
397,75002,0.418216644822692,1.002216,19,74774,74693
398,75002,0.42122496797572023,1.002216,19,74774,74693
399,74936,0.4059732085021323,0.05292,19,74716,74730
400,74936,0.4097193703352315,0.05292,19,74716,74730
401,75898,0.4162097546653051,0.51228,20,75731,75698
402,75915,0.42008391985664384,0.382289,19,75671,75709
403,76256,0.4275440097802307,0.134714,18,76013,75994
404,76193,0.4162817231500961,1.460467,20,76174,75898
405,76256,0.4177573321113312,0.134714,18,76013,75994
406,76193,0.4185921888602349,1.460467,20,76174,75898
407,76962,0.40822485008526754,1.496052,18,76916,76926
408,77240,0.39778518959861237,0.87845,20,77082,77108
409,76962,0.39757261317112413,1.496052,18,76916,76926
410,77637,0.41085902700368065,0.430895,19,77447,77407
411,77893,0.4071462935792221,0.712852,19,77623,77628
412,77992,0.3898169444591158,1.136348,18,76962,77791
413,78157,0.3971226765353228,0.049248,20,77931,77943
414,78157,0.40580940484995826,0.049248,20,77931,77943
415,78589,0.41433807909103415,0.771137,19,78218,78362
416,78866,0.3948615354909346,0.663871,19,78623,78312
417,78456,0.4198147249821176,0.932059,20,78116,78163
418,78456,0.41604734978179175,0.932059,20,78116,78163
419,79316,0.41266488600903556,0.133979,19,79138,79104
420,79590,0.4213407139151885,1.417848,20,79449,79449
421,79813,0.40402533404758373,0.801769,20,79590,79547
422,79813,0.4225248772102593,0.801769,20,79590,79547
423,79813,0.4207854738309308,0.801769,20,79590,79547
424,79813,0.40455469467067634,0.801769,20,79590,79547
425,79813,0.422832172302305,0.801769,20,79590,79547
426,79813,0.4237094749848045,0.801769,20,79590,79547
427,79813,0.4059286374194365,0.801769,20,79590,79547
428,81175,0.40894538402118197,0.740433,20,80990,80990
429,81175,0.4087503305726582,0.740433,20,80990,80990
430,80917,0.40731993447328374,0.358835,18,80654,80688
431,81745,0.4056605896041896,0.486256,18,81448,81415
432,81953,0.4144645114655905,1.100784,18,81744,81762
433,81557,0.3939357638168689,0.025673,20,81396,81377
434,82270,0.41211862830876483,0.674584,18,82190,82128
435,82302,0.40843613047386645,1.330417,18,81994,82164
436,82302,0.3987324904849951,1.330417,18,81994,82164
437,82879,0.3929222951418424,0.168763,19,82685,82722
438,83099,0.39927366456611385,0.095813,18,82571,82302
439,83280,0.3893692144840123,1.017151,19,83107,83120
440,82571,0.39702812759170425,0.013163,18,82290,82310
441,83554,0.3881247900530434,1.329951,21,83349,83349
