generation,id,fitness,species,parent1,parent2
405,71636,6.540968,5,68361,71393
406,71636,6.540968,5,68361,71393
407,71636,6.540968,5,68361,71393
408,71636,6.540968,5,68361,71393
409,71636,6.540968,5,68361,71393
410,71636,6.540968,5,68361,71393
411,71636,6.540968,5,68361,71393
412,71636,6.540968,5,68361,71393
413,71636,6.540968,5,68361,71393
414,71636,6.540968,5,68361,71393
415,71636,6.540968,5,68361,71393
416,71636,6.540968,5,68361,71393
417,71636,6.540968,5,68361,71393
418,71636,6.540968,5,68361,71393
419,71636,6.540968,5,68361,71393
420,71636,6.540968,5,68361,71393
421,71636,6.540968,5,68361,71393
422,71636,6.540968,5,68361,71393
423,71636,6.540968,5,68361,71393
424,71636,6.540968,5,68361,71393
425,71636,6.540968,5,68361,71393
426,71636,6.540968,5,68361,71393
427,71636,6.540968,5,68361,71393
428,71636,6.540968,5,68361,71393
429,71636,6.540968,5,68361,71393
430,71636,6.540968,5,68361,71393
431,71636,6.540968,5,68361,71393
432,71636,6.540968,5,68361,71393
433,71636,6.540968,5,68361,71393
434,71636,6.540968,5,68361,71393
435,71636,6.540968,5,68361,71393
436,71636,6.540968,5,68361,71393
437,71636,6.540968,5,68361,71393
438,71636,6.540968,5,68361,71393
439,81769,6.666304,5,81581,81539
440,81769,6.666304,5,81581,81539
441,81769,6.666304,5,81581,81539
442,81769,6.666304,5,81581,81539
443,81769,6.666304,5,81581,81539
444,81769,6.666304,5,81581,81539
445,81769,6.666304,5,81581,81539
446,81769,6.666304,5,81581,81539
447,81769,6.666304,5,81581,81539
448,81769,6.666304,5,81581,81539
449,81769,6.666304,5,81581,81539
450,81769,6.666304,5,81581,81539
451,81769,6.666304,5,81581,81539
452,81769,6.666304,5,81581,81539
453,81769,6.666304,5,81581,81539
454,81769,6.666304,5,81581,81539
455,81769,6.666304,5,81581,81539
456,81769,6.666304,5,81581,81539
457,81769,6.666304,5,81581,81539
458,81769,6.666304,5,81581,81539
459,81769,6.666304,5,81581,81539
460,81769,6.666304,5,81581,81539
461,81769,6.666304,5,81581,81539
462,81769,6.666304,5,81581,81539
463,81769,6.666304,5,81581,81539
464,81769,6.666304,5,81581,81539
465,81769,6.666304,5,81581,81539
466,81769,6.666304,5,81581,81539
467,81769,6.666304,5,81581,81539
468,81769,6.666304,5,81581,81539
469,81769,6.666304,5,81581,81539
470,81769,6.666304,5,81581,81539
471,81769,6.666304,5,81581,81539
472,81769,6.666304,5,81581,81539
473,81769,6.666304,5,81581,81539
474,81769,6.666304,5,81581,81539
475,81769,6.666304,5,81581,81539
476,81769,6.666304,5,81581,81539
477,81769,6.666304,5,81581,81539
478,81769,6.666304,5,81581,81539
479,81769,6.666304,5,81581,81539
480,81769,6.666304,5,81581,81539
481,81769,6.666304,5,81581,81539
482,81769,6.666304,5,81581,81539
483,81769,6.666304,5,81581,81539
484,81769,6.666304,5,81581,81539
485,81769,6.666304,5,81581,81539
486,81769,6.666304,5,81581,81539
487,81769,6.666304,5,81581,81539
488,81769,6.666304,5,81581,81539
489,81769,6.666304,5,81581,81539
490,81769,6.666304,5,81581,81539
491,81769,6.666304,5,81581,81539
492,81769,6.666304,5,81581,81539
493,81769,6.666304,5,81581,81539
494,81769,6.666304,5,81581,81539
495,81769,6.666304,5,81581,81539
496,81769,6.666304,5,81581,81539
497,81769,6.666304,5,81581,81539
498,81769,6.666304,5,81581,81539
499,81769,6.666304,5,81581,81539
